time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
40.0;1.0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;60.0;14.000000000000004;6.299999999999999;105.0;7.900000000000011;1.0;682.5999999999997;1;0.13661861223646285;7.036081409613134;1.140862488770771
41.0;1.0;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;1;54.0;15.000000000000004;7.099999999999999;105.0;5.500000000000012;1.0;675.9999999999997;1;0.10120955722902197;5.212457310441315;4.549262822382268
42.0;1.0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;1;48.0;16.000000000000004;7.899999999999999;105.0;3.100000000000012;1.0;669.3999999999996;1;0.07497788410238855;3.861483350100548;7.074267892899311
43.0;0.0;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;74.0;13.800000000000004;6.599999999999999;115.0;18.700000000000014;1.0;609.3999999999996;1;0.055544982691211546;2.860657224613567;8.944837656452062
44.0;0.0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;0;1;76.0;6.800000000000004;4.999999999999998;115.0;3.900000000000013;1.0;853.3999999999996;0;0.0;5.823318098527113;6.626498716939644
45.0;0.0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;0;1;70.0;7.800000000000004;5.799999999999998;115.0;1.5000000000000124;1.0;846.7999999999996;0;0.0;8.01811125562309;4.909030988832914
46.0;0.0;0;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;0;1;64.0;8.800000000000004;5.799999999999998;115.0;5.500000000000012;1.0;845.7999999999996;0;0.0;8.903235796345625;3.6366996024186133
47.0;0.0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;58.0;9.800000000000004;6.599999999999998;115.0;3.100000000000012;1.0;839.1999999999996;0;0.0;6.595679300958543;6.398224432026257
48.0;0.0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;52.0;10.800000000000004;7.399999999999998;115.0;0.7000000000000117;1.0;832.5999999999996;0;0.0;4.886199403923345;8.444012342664577
49.0;0.0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;54.0;3.8000000000000043;5.799999999999997;115.0;16.30000000000001;1.0;772.5999999999996;1;0.0;3.619785548310563;9.959569302515826
